"","x"
"1",15.1541312437097
"2",14.3969758232154
"3",20.3257320126416
"4",13.6169794244747
"5",16.7926111087721
"6",15.0553986696581
"7",14.3473545035938
"8",14.1527444135412
"9",13.4158070516469
"10",13.1097233497644
"11",14.2578054551876
"12",15.9118883935737
"13",11.6198810127522
"14",16.1870614848621
"15",15.7226841709359
"16",13.9441457489773
"17",16.6380077804126
"18",15.2029524013973
"19",16.0795598798693
"20",14.9186245944853
"21",18.8757159870667
"22",11.6023203078008
"23",14.0147704852811
"24",15.5763799073068
"25",18.1764735256364
"26",12.4484458030381
"27",15.63352235111
"28",14.1809162307349
"29",12.7460896147595
"30",16.3191411817903
"31",10.733713951672
"32",13.4635145863815
"33",14.9391094127116
"34",14.608301326927
"35",17.6626026363792
"36",13.3134780684803
"37",16.4867665437774
"38",13.071936092329
"39",16.2546637896159
"40",15.3770935214543
"41",17.1125235513634
"42",16.1686786117918
"43",16.6855810657132
"44",8.25837411778105
"45",14.1807552922145
"46",14.2859648410356
"47",15.5751024078189
"48",13.0426626921796
"49",12.161317517985
"50",13.0749351240255
