"","x"
"1",99.6960673645759
"2",99.1500144749498
"3",99.7928700629105
"4",100.052268726598
"5",99.8271289199502
"6",100.917575023392
"7",98.4324270624713
"8",99.5392040195277
"9",99.8471724612869
"10",100.036443926111
"11",99.2602313192042
"12",100.647090874201
"13",98.9082679530302
"14",99.6741542743116
"15",100.691539367313
"16",101.018261732376
"17",99.7484478556092
"18",100.791766375997
"19",101.585483625708
"20",99.9034719758299
"21",100.297049353233
"22",102.043864157357
"23",100.911129360427
"24",98.8263487664573
"25",100.476234902994
"26",99.4541459899442
"27",99.9317218152149
"28",98.9363109505807
"29",99.282790559329
"30",99.9030838634613
"31",101.330715089022
"32",102.662748324824
"33",101.010410034722
"34",99.8729079913019
"35",100.578476596497
"36",100.139011671596
"37",100.800387352834
"38",101.393474636281
"39",100.019938324516
"40",99.0503653051421
"41",99.3903948098594
"42",100.710766287246
"43",101.048074678913
"44",99.8015378912448
"45",99.5809621716362
"46",100.481730753554
"47",100.694284574083
"48",100.816431682638
"49",99.6623807750409
"50",99.8629137809661
"51",100.660367167673
"52",99.7948467554335
"53",98.9620626757556
"54",101.653310772122
"55",101.57967312938
"56",101.542650031153
"57",102.002633006858
"58",99.5753369952321
"59",98.9215394405916
"60",100.897297755756
"61",100.175468824266
"62",99.4532828902652
"63",99.9785687378297
"64",100.114892879101
"65",99.4764596527191
"66",101.34881883149
"67",101.621392591041
"68",100.293588711269
"69",100.326463617532
"70",100.887159324949
"71",99.7892654743372
"72",102.102602742171
"73",98.9692865602469
"74",99.4529479524536
"75",99.9747039244691
"76",99.6334397203678
"77",101.291763928819
"78",101.393640168086
"79",100.41698088789
"80",99.8671180496808
"81",99.6878949318449
"82",99.6058745352747
"83",100.009724392246
"84",98.9455850810777
"85",99.3634041427857
"86",100.77448465012
"87",100.324059331769
"88",98.8675809542828
"89",99.7066132978508
"90",100.804184106456
"91",98.5786593130439
"92",100.07690784524
"93",99.2953756339057
"94",98.9604901413037
"95",99.2708859514307
"96",101.003685068936
"97",100.595616398375
"98",100.346472456032
"99",100.231297731441
"100",100.326676135241
"101",99.0377777944529
"102",100.255378182602
"103",100.157038622694
"104",99.4266725063379
"105",99.7502584987208
"106",100.572482686894
"107",99.6581973857687
"108",98.8427342189224
"109",100.325354716277
"110",99.4544384132113
"111",98.865908590718
"112",98.9672373161468
"113",98.8898726171907
"114",99.9220611577067
"115",98.8453336421585
"116",100.10979696126
"117",101.580454029413
"118",99.3337923989792
"119",100.312996075249
"120",99.877078229358
"121",100.158524355223
"122",100.855725488458
"123",99.4857758524372
"124",101.337528979477
"125",99.3930875470133
"126",100.274933741482
"127",99.5291039102605
"128",100.247474259301
"129",99.5909353292269
"130",99.3938048924631
"131",100.769768088144
"132",101.103456436691
"133",97.7797097380724
"134",98.892015327788
"135",100.333021210563
"136",98.6591315623723
"137",99.3306208790993
"138",100.917874195162
"139",100.070097027412
"140",99.8465822850454
"141",98.5639072663117
"142",100.480166335804
"143",99.3517044583776
"144",98.8905653505219
"145",99.8151627895826
"146",99.6923345093157
"147",99.752609574991
"148",99.2877433659179
"149",100.18292376833
"150",99.4457714077071
"151",99.5963162667185
"152",100.025783640047
