"","x"
"1",0.360302870442339
"2",0.572718265811312
"3",0.211575385357554
"4",1.87067467371916
"5",0.994101070968599
"6",0.0665112111877772
"7",0.322172948532372
"8",0.711848825066419
"9",0.605753540864444
"10",0.574048482089144
"11",0.621623873292904
"12",0.73499767925249
"13",0.64769199758726
"14",1.51412898641633
"15",0.416174303541955
"16",0.674359204333267
"17",0.911472832868764
"18",0.363914660975891
"19",0.167494518095653
"20",1.69829394981909
"21",1.31453271848139
"22",0.267186268281314
"23",0.574054908426734
"24",0.696635545050592
"25",1.0812619128803
"26",1.2556943149201
"27",0.168341878467391
"28",0.95706865247964
"29",0.390489391529008
"30",0.487088921885973
"31",0.920491224990125
"32",0.13202693050008
"33",0.687322702018658
"34",0.509381964372637
"35",0.620948247298922
"36",0.615570790617971
"37",0.700619325027442
"38",0.856328505097514
"39",0.945648203095522
"40",0.407301274323144
"41",1.19022912250376
"42",0.562321605213992
"43",1.37164882957732
"44",0.832897649883625
"45",1.74159891799
"46",1.16789638914307
"47",1.05483672382214
"48",0.709244220881194
"49",0.405494612971485
"50",0.452568867279721
